0 49974 0 0 626 0 0 7439
1 39086 1016 9852 493 11 113 6425
2 33068 836 15951 399 14 198 6611
3 29196 755 19955 371 6 237 6709
4 26832 694 22431 339 13 253 6768
5 25259 705 23898 315 11 287 6710
6 24495 673 24781 311 12 292 6749
7 23863 654 25340 294 11 307 6776
8 23401 608 25735 280 15 315 6836
9 23230 601 26039 274 8 327 6844
10 22806 637 26343 291 5 333 6823
11 22962 562 26292 279 8 336 6888
12 22798 603 26441 274 12 337 6831
13 22924 625 26411 280 12 335 6772
14 22939 595 26435 286 11 336 6849
15 22956 578 26495 287 9 325 6867
16 22848 651 26491 280 17 329 6771
17 22826 611 26474 283 9 332 6821
18 22729 610 26477 284 6 334 6827
19 22739 612 26438 301 12 310 6839
20 22799 628 26269 298 6 311 6808
21 22823 623 26237 297 13 301 6838
22 22874 601 26187 295 6 318 6844
23 22847 649 26194 285 7 319 6808
24 22812 606 26351 306 8 296 6859
25 22800 587 26326 295 9 299 6870
26 22713 643 26358 285 13 322 6808
27 22820 624 26271 301 4 316 6864
28 22842 591 26387 294 7 321 6900
29 22897 633 26311 326 4 296 6856
30 22978 599 26267 299 11 324 6870
31 23029 582 26276 320 2 317 6886
32 22982 619 26370 300 9 312 6857
33 22947 575 26427 308 9 308 6892
34 23037 583 26352 309 3 303 6894
35 22956 569 26392 289 9 322 6904
36 22962 568 26319 300 11 304 6890
37 22926 637 26284 300 5 320 6839
38 22919 649 26333 286 8 311 6802
39 22970 616 26220 290 6 313 6843
40 22986 640 26184 288 10 319 6810
41 23039 623 26162 290 7 319 6809
42 22900 659 26293 298 9 309 6787
43 22905 601 26364 311 10 313 6837
44 22919 588 26354 308 11 315 6834
45 22833 632 26392 304 6 308 6792
46 22797 611 26351 286 13 317 6816
47 23136 596 26119 287 6 317 6858
48 23191 558 26145 287 5 313 6899
49 23090 610 26105 293 11 304 6816
50 22939 610 26291 290 9 313 6851
51 22956 634 26239 280 14 308 6829
52 22871 629 26344 279 11 303 6843
53 22787 649 26386 254 5 336 6838
