0 30026 0 0 374 0 0 4561
1 25630 619 3797 327 9 47 3920
2 23036 593 6516 299 6 84 3940
3 21246 546 8302 267 7 112 3977
4 20011 509 9523 266 8 121 4008
5 19141 495 10502 241 6 140 4073
6 18362 514 11175 226 5 154 4047
7 18030 504 11609 233 4 151 4051
8 17891 448 11917 242 5 143 4088
9 17561 456 12113 237 10 144 4081
10 17581 465 12168 225 8 138 4062
11 17414 489 12281 225 8 144 4045
12 17433 443 12282 226 7 144 4104
13 17375 476 12189 224 4 145 4111
14 17407 501 12123 220 3 144 4041
15 17321 480 12170 218 3 158 4063
16 17240 488 12282 214 12 148 4061
17 17264 473 12352 215 3 158 4083
18 17261 454 12469 217 4 155 4099
19 17210 468 12533 204 8 165 4061
20 17414 454 12436 232 6 147 4098
21 17345 472 12500 243 6 140 4048
22 17422 479 12437 230 5 146 4065
23 17325 449 12536 228 6 155 4081
24 17234 445 12552 239 5 146 4077
25 17172 484 12631 247 8 142 4042
26 17242 481 12563 236 4 140 4051
27 17253 455 12577 224 8 147 4045
28 17182 478 12520 231 9 138 4015
29 17198 463 12498 231 5 138 4039
30 17275 477 12404 228 2 136 4041
31 17361 446 12306 202 4 155 4080
32 17264 469 12296 216 5 158 4041
33 17283 444 12324 220 5 150 4075
34 17169 458 12401 224 7 154 4055
35 17317 449 12317 221 11 148 4058
36 17347 439 12365 234 8 143 4084
37 17330 489 12334 212 11 152 4019
38 17197 453 12449 226 8 161 4080
39 17348 475 12371 224 5 162 4055
40 17326 488 12376 227 4 152 4048
41 17340 452 12384 238 3 143 4106
42 17440 456 12252 230 6 148 4083
43 17402 494 12234 205 12 149 4046
44 17517 458 12164 205 9 152 4100
45 17427 522 12194 227 6 149 4042
46 17423 481 12337 214 8 162 4071
47 17412 491 12246 221 5 164 4044
48 17461 465 12180 216 7 172 4066
49 17401 465 12329 214 10 168 4088
50 17366 511 12283 218 5 165 4014
51 17407 477 12287 221 9 168 4037
52 17410 471 12275 221 4 182 4042
53 17473 447 12258 225 8 172 4053
54 17414 424 12291 217 9 182 4078
55 17287 463 12412 218 7 173 4057
56 17246 467 12430 232 5 167 4078
57 17327 445 12458 237 7 157 4108
58 17334 480 12417 217 5 163 4091
59 17279 499 12406 222 9 166 4071
60 17303 471 12420 219 10 168 4109
61 17271 492 12453 209 9 185 4081
