,abs_phosphatase_grad,kcat/Km,phosphatase_conc,meg3_grad,meg3p_grad,meg3-rna_grad,fast_meg3_grad,total_meg3_grad
0,0.9926082195468023,3.7052622787255235e-07,2821.4281926410063,0.878138847858198,-0.04712401909230657,0.8555844155844156,0.0009203865623561569,0.021446483600114696
1,0.8430092961205776,1.0303248989963591e-06,2729.5224907854954,0.812664907651715,-0.11738512973756632,0.7971877979027645,-0.007080084491615901,0.03463963407096049
2,0.17698573390528705,6.087904568002146e-06,646.0336025019734,0.522759679719206,-0.07104356939661627,0.5932318873495344,0.00027665432700552106,0.032785456356618115
3,0.5053723902146027,1.9135406816293366e-06,2903.6362159470295,0.6322190774879524,-0.13388142395242664,0.650049196457855,0.0003350308228358134,0.04941896479100072
4,0.2728569288997812,1.8788594412065046e-06,2050.2592797035645,0.5554949252428245,-0.07064136497540119,0.6143671607753706,0.004813509390288795,0.03804976312157271
5,0.6508630654243058,1.0174437411213473e-08,589.8066359881374,1.0,-0.019684284527385465,0.9285714285714286,-0.019449733556540894,-0.019280156387749603
6,0.8576089172438947,7.809355485209325e-07,1998.4366473695197,0.8099700149925038,-0.07239404988008258,0.7950459448661606,-0.011617550245904829,0.01362977041964697
7,0.314879385977608,2.8346272054177844e-08,2167.7969313953936,0.5986394557823129,-0.01035038925083498,0.6029411764705883,-0.009215596795456804,-0.008688383403414601
8,0.7293927606204295,4.8863621423826536e-08,1677.2580686399876,0.7370242214532872,-0.020039106930617168,0.7301587301587301,-0.017253234185596655,-0.016056037222547115
9,0.551741809637709,1.254805437158578e-08,1735.5044224095773,0.7666666666666666,-0.0021144325850519508,0.7333333333333334,-0.0015308510772891193,-0.0012520393064461288
10,0.6454012552821414,3.104304009796639e-07,619.9872560855779,0.7643410852713178,0.006676736776634051,0.7551020408163265,0.012829552035857339,0.015566984445559484
11,0.8566394454984465,1.0310284413160745e-07,1261.7597182461045,0.8492063492063492,-0.0014409038164822086,0.811965811965812,0.003991029685659009,0.006379403999444033
12,0.2596454701031805,1.0043762191746312e-08,1613.2233641278813,0.6557377049180328,-0.008586509078970517,0.7037037037037037,-0.00807520030281994,-0.007832799374385191
13,0.16953921375764947,2.8263938272983268e-08,2105.0745984552095,0.4758620689655172,-0.009157370165186807,0.5428571428571429,-0.008269471132601902,-0.007782837392938724
14,0.6583040275564541,1.6727631235279087e-06,1645.5312614143934,0.7006010998848957,-0.09710852531867631,0.7091156462585033,-0.015283298568748549,0.018034592375660297
15,0.0503736040561944,2.7637383310771476e-07,2296.9344373878425,0.4650416933932008,-0.02378643321451035,0.4916666666666667,-0.013998946868217343,-0.009365893386610313
16,0.3370765828342147,7.19714127230194e-07,2921.754981157469,0.6011256354393609,-0.07124810510358759,0.6198183971575207,-0.022996143422972848,-0.002459481616951642
17,0.5899887537779124,5.74072991159969e-06,1721.2305213282361,0.6184144505770195,-0.2473093656972749,0.6439906898011003,-0.008778720933447781,0.06666177585405797
18,0.8563846115971322,1.4894210313230025e-06,1357.0361338177934,0.8225877515053606,-0.10175273329336876,0.8015146733985484,-0.019877457038415036,0.012643678160919603
19,0.8053391875248919,2.6654742285161038e-06,473.79123912291567,0.8084916201117318,-0.03748632255798556,0.7926711668273867,0.010738579908792123,0.03086527005559969
20,0.11185956126339902,2.8182957990060775e-08,2634.2641244844913,0.5388349514563107,-0.032724927442760565,0.6057692307692308,-0.031210199276993755,-0.03035909295304151
21,0.30232964098302084,2.2686180891222775e-07,1071.6306770611582,0.6074626865671642,-0.009595998264553707,0.6646341463414633,-0.004365099448352616,-0.0016002217630159965
22,0.5615446208279871,1.096325566009474e-06,1050.3028152859376,0.7051422319474836,0.0017225056540262074,0.7094515752625438,0.033986550910824365,0.04820564466606081
23,0.4081576371964506,7.099560113635572e-07,2166.710008354191,0.6207551650439325,-0.024025403688940017,0.6270661157024793,0.010688350209675845,0.025576404830821464
24,0.7625725286660997,3.871081986083496e-08,969.9714966005951,0.782608695652174,0.007534186370656948,0.7564102564102564,0.009097972380260111,0.009827732986128601
25,0.2370568352699145,1.1960605584462355e-06,2908.934924479936,0.5609038484170884,-0.05431884143377008,0.6242212808372789,0.014127844554429503,0.04458432333586271
26,0.7799159700143927,2.8669909350289554e-08,383.28194813265384,0.8846153846153846,-0.00045316650092508404,1.0,-0.00016358991782761123,-1.2581939883515858e-05
27,0.5832613863457174,1.8714842270688266e-08,836.3677272853025,0.813953488372093,-0.008920844998727251,0.8235294117647058,-0.008470803708838348,-0.008290946083418183
28,0.9769965142388796,1.9528401480054724e-07,1735.8535827932867,0.8824771287825475,-0.030032340514318356,0.8553719008264463,-0.013430638243390192,-0.005429336174854971
29,0.6811149066849618,4.927400307953826e-07,2106.3015865476395,0.7574370709382151,-0.041705893428732654,0.7555555555555555,-0.005818882466281039,0.009701774254435636
30,0.8291784688846013,1.4161414815395586e-07,392.1949798830973,0.7857142857142857,-0.0024252629462546693,0.8285714285714285,-0.0007649190565162112,-3.758597792447027e-05
31,0.0910540531341677,3.053541175245199e-08,1861.766673568,0.5621301775147929,0.015446768060836558,0.7073170731707317,0.01659989266234807,0.017306085807264004
32,0.9939466944633673,5.892822874857771e-07,1383.2856621226115,0.8976308862240421,-0.02241610560004248,0.8706739526411658,0.017542745357079337,0.035025942838656676
