time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
3285,0,0,48,17,80,852,1071,652
3290,0,0,43,22,91,891,1126,588
3295,0,0,58,20,93,858,1077,642
3300,0,0,43,21,91,907,1102,626
3305,0,0,45,16,91,898,1081,649
3310,0,0,47,24,83,890,1087,624
3315,0,0,47,23,79,913,1085,622
3320,0,0,46,23,95,895,1073,639
3325,0,0,52,13,85,899,1091,624
3330,0,0,54,18,88,879,1104,609
3335,0,0,56,20,80,874,1103,619
3340,0,0,53,22,83,867,1079,649
3345,0,0,45,23,85,905,1126,600
3350,0,0,59,14,72,856,1062,661
3355,0,0,45,22,84,912,1160,574
3360,0,0,54,21,73,796,1066,667
3365,0,0,43,24,87,908,1168,571
3370,0,0,53,22,82,846,1057,684
3375,0,0,52,14,81,930,1129,599
3380,0,0,42,18,79,860,1093,645
3385,0,0,48,22,75,889,1131,611
3390,0,0,52,16,74,881,1121,636
3395,0,0,46,24,74,897,1133,637
3400,0,0,52,22,83,878,1135,647
3405,0,0,54,14,82,925,1168,623
3410,0,0,40,18,74,856,1125,676
3415,0,0,53,13,81,884,1163,629
3420,0,0,44,17,96,850,1152,633
3425,0,0,51,18,77,880,1165,633
3430,0,0,43,16,75,874,1126,671
3435,0,0,53,19,80,916,1162,621
3440,0,0,45,18,76,860,1133,650
3445,0,0,50,13,85,888,1147,626
3450,0,0,48,12,78,849,1104,664
3455,0,0,43,23,77,872,1121,625
3460,0,0,36,21,79,856,1111,623
3465,0,0,54,8,86,875,1119,619
3470,0,0,54,19,81,852,1110,609
3475,0,0,50,17,94,828,1071,623
3480,0,0,43,21,85,887,1095,595
3485,0,0,54,22,85,859,1069,623
3490,0,0,55,10,78,893,1118,582
3495,0,0,39,19,73,827,1078,622
3500,0,0,46,26,81,860,1110,588
3505,0,0,51,15,83,834,1074,627
3510,0,0,47,27,72,834,1066,622
3515,0,0,50,18,78,897,1093,592
3520,0,0,55,30,79,856,1105,589
3525,0,0,56,18,80,841,1099,614
3530,0,0,42,25,78,862,1092,620
3535,0,0,42,20,85,858,1086,622
3540,0,0,60,18,74,896,1136,607
3545,0,0,47,26,76,837,1103,637
3550,0,0,45,20,98,885,1134,599
3555,0,0,51,24,85,833,1080,644
3560,0,0,63,20,79,886,1117,616
3565,0,0,48,17,91,847,1125,618
3570,0,0,58,13,81,846,1142,599
3575,0,0,49,22,71,843,1133,615
3580,0,0,43,23,71,834,1143,605
3585,0,0,61,17,79,823,1130,614
3590,0,0,42,19,87,839,1165,591
3595,0,0,53,14,89,831,1098,660
3600,0,0,49,18,88,878,1156,587
3605,0,0,53,18,95,812,1088,649
3610,0,0,51,22,85,888,1152,586
3615,0,0,53,27,86,812,1120,618
3620,0,0,60,15,86,860,1135,606
