time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
3285,0,0,70,30,70,878,1298,631
3290,0,0,69,28,69,837,1250,676
3295,0,0,62,24,68,845,1269,647
3300,0,0,69,27,61,839,1291,634
3305,0,0,66,36,65,834,1280,646
3310,0,0,62,33,71,824,1304,622
3315,0,0,70,30,68,833,1288,645
3320,0,0,65,36,69,847,1292,642
3325,0,0,62,29,69,843,1260,663
3330,0,0,61,27,91,884,1305,621
3335,0,0,56,30,83,820,1238,696
3340,0,0,63,26,80,901,1296,639
3345,0,0,61,39,74,853,1266,676
3350,0,0,62,34,73,875,1307,628
3355,0,0,59,27,80,835,1251,686
3360,0,0,58,23,84,909,1283,636
3365,0,0,58,25,84,841,1236,699
3370,0,0,61,35,79,910,1332,617
3375,0,0,74,29,74,815,1253,711
3380,0,0,70,29,76,895,1334,635
3385,0,0,68,37,82,814,1260,700
3390,0,0,74,29,68,886,1288,666
3395,0,0,55,29,66,870,1272,666
3400,0,0,65,27,70,915,1264,674
3405,0,0,57,31,76,889,1262,684
3410,0,0,59,26,82,886,1257,685
3415,0,0,54,35,84,886,1268,676
3420,0,0,68,18,76,879,1278,659
3425,0,0,51,28,70,866,1272,669
3430,0,0,63,17,70,892,1289,655
3435,0,0,47,29,70,844,1238,697
3440,0,0,60,27,72,901,1310,614
3445,0,0,72,22,65,828,1226,697
3450,0,0,58,29,64,898,1285,636
3455,0,0,63,30,73,858,1252,676
3460,0,0,76,24,64,857,1260,652
3465,0,0,49,38,61,855,1242,675
3470,0,0,67,30,64,889,1254,665
3475,0,0,65,36,82,894,1267,666
3480,0,0,63,31,73,897,1267,669
3485,0,0,67,28,72,872,1257,674
3490,0,0,68,28,68,926,1282,654
3495,0,0,59,28,79,884,1242,694
3500,0,0,74,28,75,915,1283,658
3505,0,0,61,35,72,892,1250,689
3510,0,0,70,31,76,912,1264,668
3515,0,0,60,28,56,895,1241,691
3520,0,0,59,23,65,933,1290,655
3525,0,0,43,36,76,883,1265,692
3530,0,0,64,29,70,899,1260,676
3535,0,0,58,23,72,881,1267,668
3540,0,0,58,29,68,840,1253,674
3545,0,0,57,24,64,882,1306,643
3550,0,0,63,27,62,823,1280,676
3555,0,0,68,29,63,854,1289,668
3560,0,0,60,28,73,862,1271,689
3565,0,0,72,27,73,893,1308,641
3570,0,0,70,31,86,829,1269,684
3575,0,0,66,33,78,892,1306,646
3580,0,0,65,35,75,848,1259,689
3585,0,0,74,30,79,897,1292,649
3590,0,0,63,38,56,845,1268,673
3595,0,0,74,29,71,883,1288,667
3600,0,0,62,29,70,877,1263,681
3605,0,0,56,26,77,908,1249,693
3610,0,0,56,32,70,921,1275,662
3615,0,0,73,25,80,875,1236,705
3620,0,0,53,32,66,911,1245,689
3625,0,0,64,27,65,903,1250,675
3630,0,0,49,39,61,885,1290,644
3635,0,0,60,36,69,864,1270,669
3640,0,0,69,26,74,904,1268,672
3645,0,0,65,30,66,894,1272,679
3650,0,0,59,31,67,911,1266,680
3655,0,0,61,34,59,878,1254,689
3660,0,0,75,26,60,910,1260,686
3665,0,0,64,39,56,893,1275,668
3670,0,0,64,28,74,880,1231,705
3675,0,0,66,36,59,928,1273,669
3680,0,0,67,39,64,884,1235,704
3685,0,0,69,28,73,952,1281,668
3690,0,0,67,29,69,897,1246,699
3695,0,0,69,29,66,936,1284,673
3700,0,0,69,37,72,871,1294,669
3705,0,0,71,29,65,882,1313,652
3710,0,0,59,29,61,853,1240,727
3715,0,0,68,28,68,926,1333,620
3720,0,0,61,32,77,840,1235,724
3725,0,0,64,30,70,934,1341,619
3730,0,0,78,33,71,835,1250,698
3735,0,0,68,33,81,894,1312,629
3740,0,0,67,21,59,855,1249,702
3745,0,0,55,33,53,915,1310,641
3750,0,0,59,28,66,851,1232,712
3755,0,0,65,27,60,951,1339,600
3760,0,0,54,29,70,821,1192,750
3765,0,0,64,25,63,955,1319,609
3770,0,0,49,34,64,832,1202,731
3775,0,0,66,19,66,949,1287,647
3780,0,0,45,34,66,867,1243,682
3785,0,0,55,22,72,885,1252,666
3790,0,0,51,26,73,895,1266,661
3795,0,0,65,28,61,870,1228,704
3800,0,0,54,25,74,918,1272,655
3805,0,0,49,27,69,861,1214,702
3810,0,0,64,18,62,922,1281,632
3815,0,0,53,34,68,843,1210,709
3820,0,0,48,23,63,930,1248,662
3825,0,0,46,24,58,891,1212,705
3830,0,0,61,29,68,919,1264,658
3835,0,0,59,31,69,875,1243,666
3840,0,0,55,35,81,892,1255,656
3845,0,0,61,40,71,902,1265,649
3850,0,0,70,19,80,896,1230,691
3855,0,0,51,41,72,898,1248,658
3860,0,0,57,24,64,918,1251,674
3865,0,0,52,33,67,900,1233,691
3870,0,0,64,25,90,938,1245,698
3875,0,0,63,29,74,901,1238,698
3880,0,0,69,31,88,961,1299,647
3885,0,0,70,27,80,907,1233,699
3890,0,0,65,28,69,912,1249,676
3895,0,0,68,29,67,925,1251,680
3900,0,0,58,36,51,904,1235,695
3905,0,0,59,31,63,926,1276,651
3910,0,0,64,23,60,879,1246,690
3915,0,0,57,33,63,880,1261,671
3920,0,0,78,23,66,893,1220,706
3925,0,0,54,29,67,939,1284,640
3930,0,0,67,25,62,845,1198,719
3935,0,0,62,33,57,915,1281,629
3940,0,0,58,43,58,866,1242,666
3945,0,0,73,28,68,914,1272,644
3950,0,0,66,38,59,855,1215,713
3955,0,0,74,38,56,916,1284,636
3960,0,0,68,31,58,840,1206,711
3965,0,0,55,29,61,912,1279,611
3970,0,0,67,29,52,833,1167,721
3975,0,0,64,25,62,896,1260,604
3980,0,0,62,27,62,818,1154,710
3985,0,0,54,33,73,878,1220,622
3990,0,0,72,32,68,832,1174,653
3995,0,0,60,36,54,887,1212,626
4000,0,0,66,27,57,859,1204,636
4005,0,0,60,35,67,868,1180,655
4010,0,0,59,37,65,881,1214,626
4015,0,0,62,30,64,854,1198,636
4020,0,0,77,21,64,860,1213,629
4025,0,0,55,35,60,866,1203,639
4030,0,0,61,34,75,886,1227,629
4035,0,0,72,22,72,880,1210,654
4040,0,0,48,44,66,868,1205,670
4045,0,0,73,27,75,893,1202,662
4050,0,0,64,41,74,891,1228,651
4055,0,0,75,28,77,885,1217,673
4060,0,0,65,34,69,870,1233,643
4065,0,0,60,26,72,859,1206,655
4070,0,0,58,29,61,859,1219,637
4075,0,0,71,29,63,846,1192,666
4080,0,0,62,37,74,882,1207,650
4085,0,0,63,29,68,847,1192,656
4090,0,0,61,36,68,848,1233,606
4095,0,0,64,21,75,839,1173,670
4100,0,0,62,33,70,831,1192,629
4105,0,0,66,30,66,870,1214,621
4110,0,0,64,29,84,845,1153,678
4115,0,0,63,39,74,883,1222,609
4120,0,0,71,30,69,815,1154,667
4125,0,0,70,33,68,894,1218,593
